ID Pirata,Nombre,Recompensa (Berries),Nivel de Peligrosidad,Estado
1,Charlotte Katakuri,139178689,Medio,Buscado
2,Chopper,200360804,Alto,Capturado
3,Jesus Burgess,476834415,Alto,Capturado
4,Brook,312779034,Alto,Capturado
5,Sanji,86238743,Bajo,Buscado
6,Van Augur,155671408,Medio,Capturado
7,Shanks,167646390,Medio,Buscado
8,Crocodile,188945926,Medio,Capturado
9,Blackbeard,200230517,Alto,Capturado
10,Jozu,231369046,Alto,Capturado
91,Arlong,20000000,Bajo,Buscado
92,Crocodile,81000000,Medio,Buscado
93,Eustass Kid,515000000,Alto,Buscado
94,Bellamy,55000000,Medio,Buscado
95,Buggy,15000000,Bajo,Buscado
96,Donquixote Doflamingo,340000000,Alto,Buscado
97,Foxy,24000000,Bajo,Buscado
98,Jinbe,438000000,Medio,Buscado
99,Gecko Moria,320000000,Alto,Buscado
910,Bon Clay,32000000,Bajo,Buscado
