ID Pirata,Nombre,Recompensa (Berries),Nivel de Peligrosidad,Estado
1,Jinbe,486179887,Alto,Buscado
2,Luffy,183321476,Medio,Capturado
3,Yasopp,262768237,Alto,Buscado
4,Wapol,291214492,Alto,Buscado
5,Zoro,326373249,Alto,Capturado
6,Alvida,319541129,Alto,Buscado
7,Ace,367632608,Alto,Buscado
8,Benn Beckman,114465747,Medio,Capturado
9,Whitebeard,274183337,Alto,Capturado
10,Monster,215732836,Alto,Buscado
11,Buggy,156298502,Medio,Buscado
12,Donquixote Doflamingo,181331879,Medio,Capturado
13,Lucky Roux,37794269,Bajo,Capturado
14,Shiryu,20121139,Bajo,Buscado
15,Brogy,132645049,Medio,Buscado
16,Boa Hancock,68261392,Bajo,Capturado
17,Nami,332844735,Alto,Buscado
18,Franky,289797032,Alto,Capturado
19,Chopper,87843456,Bajo,Capturado
20,Blackbeard,464953570,Alto,Buscado
21,Kozuki Oden,212219230,Alto,Capturado
22,Capone Bege,313121228,Alto,Capturado
23,Marco,155870488,Medio,Capturado
24,Jesus Burgess,221113865,Alto,Capturado
25,Charlotte Katakuri,29357540,Bajo,Buscado
26,Aval Pizarro,17345335,Bajo,Capturado
27,Arlong,27577833,Bajo,Capturado
28,Jozu,89089077,Bajo,Buscado
29,X Drake,36103705,Bajo,Buscado
30,Brook,263603679,Alto,Buscado
31,Enel,276383813,Alto,Capturado
32,Basil Hawkins,37689495,Bajo,Buscado
33,Killer,119449927,Medio,Capturado
34,Sanji,229059633,Alto,Buscado
35,Bartholomew Kuma,429590466,Alto,Capturado
36,Trafalgar D. Water Law,59683854,Bajo,Capturado
37,Silvers Rayleigh,173216510,Medio,Capturado
38,Crocodile,395162938,Alto,Buscado
39,Gol D. Roger,348488724,Alto,Capturado
40,Dracule Mihawk,180595951,Medio,Capturado
41,Robin,213777959,Alto,Capturado
42,Big Mom,155163906,Medio,Capturado
43,Van Augur,291631446,Alto,Buscado
44,Usopp,89881826,Bajo,Capturado
45,Bepo,108011464,Medio,Capturado
46,Dorry,101249252,Medio,Capturado
47,Eustass Kid,234977489,Alto,Buscado
48,Shanks,79036522,Bajo,Buscado
49,Kaido,127113944,Medio,Buscado
50,Sabo,72897143,Bajo,Buscado
