ID Pirata,Nombre,Recompensa (Berries),Nivel de Peligrosidad,Estado
1,Charlotte Katakuri,154233445,Medio,Buscado
2,Donquixote Doflamingo,477364703,Alto,Buscado
3,Boa Hancock,416858661,Alto,Buscado
4,Capone Bege,190797835,Medio,Buscado
5,Jesus Burgess,288330582,Alto,Capturado
6,Zoro,225183069,Alto,Capturado
7,Crocodile,402729617,Alto,Capturado
8,Monster,428341975,Alto,Capturado
9,Brook,143051403,Medio,Buscado
10,Bartholomew Kuma,306267787,Alto,Capturado
11,Dracule Mihawk,456329401,Alto,Buscado
12,Alvida,365583127,Alto,Buscado
13,Eustass Kid,45055008,Bajo,Capturado
14,Big Mom,254413375,Alto,Buscado
15,Chopper,61711384,Bajo,Capturado
16,Enel,401698017,Alto,Buscado
17,Ace,212981869,Alto,Buscado
18,Sabo,86737334,Bajo,Capturado
19,Buggy,167424759,Medio,Buscado
20,Luffy,444311271,Alto,Capturado
21,Marco,192581718,Medio,Buscado
22,Basil Hawkins,243911406,Alto,Buscado
23,Arlong,296839224,Alto,Buscado
24,Benn Beckman,46717495,Bajo,Capturado
25,Wapol,496645168,Alto,Buscado
